turns,b_field_power,b_field_current,current,voltage,power
539,0.1550899257356678,0.15508992573566777,40.0,176.54538058410353,7061.815223364141
540,0.1553776621470512,0.1553776621470512,40.0,176.8729230341668,7074.916921366672
541,0.15566539855843461,0.15566539855843461,40.0,177.20046548423005,7088.0186193692025
542,0.15595313496981805,0.15595313496981805,40.0,177.52800793429333,7101.120317371733
543,0.15624087138120146,0.1562408713812015,40.0,177.8555503843566,7114.222015374264
544,0.1565286077925849,0.15652860779258493,40.0,178.18309283441988,7127.323713376795
545,0.15681634420396834,0.15681634420396834,40.0,178.51063528448316,7140.425411379326
546,0.15710408061535175,0.15710408061535175,40.0,178.8381777345464,7153.5271093818565
547,0.1573918170267352,0.15739181702673521,40.0,179.16572018460968,7166.628807384387
548,0.15767955343811862,0.15767955343811862,40.0,179.49326263467296,7179.730505386918
549,0.15796728984950204,0.15796728984950206,40.0,179.8208050847362,7192.832203389449
550,0.15825502626088547,0.15825502626088547,40.0,180.14834753479948,7205.93390139198
551,0.1585427626722689,0.1585427626722689,40.0,180.4758899848628,7219.035599394512
552,0.15883049908365232,0.15883049908365235,40.0,180.80343243492607,7232.137297397043
553,0.15911823549503576,0.15911823549503576,40.0,181.13097488498934,7245.2389953995735
554,0.15940597190641917,0.1594059719064192,40.0,181.4585173350526,7258.340693402104
555,0.1596937083178026,0.15969370831780264,40.0,181.78605978511587,7271.442391404635
556,0.15998144472918605,0.15998144472918605,40.0,182.11360223517914,7284.544089407165
557,0.16026918114056948,0.16026918114056948,40.0,182.44114468524242,7297.645787409697
558,0.1605569175519529,0.1605569175519529,40.0,182.7686871353057,7310.747485412227
559,0.16084465396333633,0.16084465396333633,40.0,183.09622958536895,7323.849183414758
560,0.16113239037471974,0.16113239037471977,40.0,183.42377203543222,7336.950881417289
561,0.16142012678610318,0.16142012678610318,40.0,183.7513144854955,7350.052579419819
562,0.1617078631974866,0.16170786319748662,40.0,184.07885693555875,7363.154277422351
563,0.16199559960887003,0.16199559960887006,40.0,184.40639938562202,7376.255975424881
564,0.16228333602025347,0.16228333602025347,40.0,184.7339418356853,7389.357673427412
565,0.1625710724316369,0.1625710724316369,40.0,185.06148428574858,7402.459371429943
566,0.16285880884302031,0.16285880884302031,40.0,185.38902673581185,7415.561069432473
567,0.16314654525440375,0.16314654525440378,40.0,185.71656918587513,7428.662767435006
568,0.1634342816657872,0.1634342816657872,40.0,186.0441116359384,7441.764465437536
569,0.1637220180771706,0.16372201807717063,40.0,186.37165408600168,7454.866163440067
570,0.16400975448855404,0.16400975448855404,40.0,186.69919653606496,7467.967861442598
571,0.16429749089993745,0.16429749089993748,40.0,187.02673898612824,7481.069559445129
572,0.1645852273113209,0.16458522731132091,40.0,187.35428143619148,7494.17125744766
573,0.16487296372270432,0.16487296372270432,40.0,187.68182388625476,7507.27295545019
574,0.16516070013408776,0.16516070013408776,40.0,188.00936633631804,7520.374653452721
575,0.16544843654547117,0.1654484365454712,40.0,188.3369087863813,7533.476351455252
576,0.1657361729568546,0.1657361729568546,40.0,188.66445123644456,7546.578049457783
577,0.16602390936823802,0.16602390936823805,40.0,188.99199368650784,7559.679747460314
578,0.16631164577962146,0.16631164577962146,40.0,189.31953613657112,7572.781445462844
579,0.16659938219100484,0.1665993821910049,40.0,189.6470785866344,7585.883143465375
580,0.1668871186023883,0.16688711860238833,40.0,189.97462103669764,7598.984841467906
581,0.16717485501377174,0.16717485501377174,40.0,190.30216348676092,7612.086539470437
582,0.16746259142515518,0.16746259142515518,40.0,190.62970593682422,7625.1882374729685
583,0.16775032783653862,0.1677503278365386,40.0,190.9572483868875,7638.2899354755
584,0.16803806424792203,0.16803806424792203,40.0,191.28479083695078,7651.391633478031
585,0.16832580065930544,0.16832580065930547,40.0,191.61233328701402,7664.493331480561
586,0.16861353707068888,0.16861353707068888,40.0,191.9398757370773,7677.595029483092
587,0.16890127348207232,0.16890127348207232,40.0,192.26741818714058,7690.696727485622
588,0.16918900989345573,0.16918900989345576,40.0,192.59496063720383,7703.798425488154
589,0.16947674630483917,0.1694767463048392,40.0,192.9225030872671,7716.900123490685
590,0.1697644827162226,0.1697644827162226,40.0,193.25004553733038,7730.001821493215
591,0.17005221912760604,0.170052219127606,40.0,193.57758798739366,7743.103519495746
592,0.17033995553898945,0.17033995553898948,40.0,193.90513043745693,7756.205217498276
593,0.1706276919503729,0.1706276919503729,40.0,194.23267288752018,7769.306915500808
594,0.1709154283617563,0.17091542836175633,40.0,194.56021533758346,7782.4086135033385
595,0.17120316477313974,0.17120316477313974,40.0,194.88775778764673,7795.510311505869
596,0.17149090118452315,0.17149090118452318,40.0,195.21530023770998,7808.6120095084
597,0.17177863759590659,0.1717786375959066,40.0,195.54284268777326,7821.71370751093
598,0.17206637400729002,0.17206637400729002,40.0,195.87038513783656,7834.815405513463
599,0.17235411041867346,0.17235411041867346,40.0,196.19792758789984,7847.917103515993
600,0.17264184683005687,0.1726418468300569,40.0,196.52547003796312,7861.018801518524
601,0.1729295832414403,0.1729295832414403,40.0,196.85301248802637,7874.1204995210555
602,0.17321731965282375,0.17321731965282375,40.0,197.18055493808964,7887.222197523586
603,0.17350505606420716,0.17350505606420716,40.0,197.50809738815292,7900.323895526117
604,0.17379279247559057,0.1737927924755906,40.0,197.8356398382162,7913.425593528647
